Price,Close,High,Low,Open,Volume
Ticker,NDX,NDX,NDX,NDX,NDX
Date,,,,,
2021-04-29,13970.2001953125,13970.2001953125,13970.2001953125,13970.2001953125,0
2021-04-30,13860.759765625,13860.759765625,13860.759765625,13860.759765625,0
2021-05-03,13799.7197265625,13799.7197265625,13799.7197265625,13799.7197265625,0
2021-05-04,13544.669921875,13544.669921875,13544.669921875,13544.669921875,0
2021-05-05,13503.3701171875,13503.3701171875,13503.3701171875,13503.3701171875,0
2021-05-06,13613.73046875,13613.73046875,13613.73046875,13613.73046875,0
2021-05-07,13719.6298828125,13719.6298828125,13719.6298828125,13719.6298828125,0
2021-05-10,13359.080078125,13359.080078125,13359.080078125,13359.080078125,0
2021-05-11,13351.26953125,13351.26953125,13351.26953125,13351.26953125,0
2021-05-12,13001.6298828125,13001.6298828125,13001.6298828125,13001.6298828125,0
2021-05-13,13109.150390625,13109.150390625,13109.150390625,13109.150390625,0
2021-05-14,13393.1201171875,13393.1201171875,13393.1201171875,13393.1201171875,0
2021-05-17,13312.91015625,13312.91015625,13312.91015625,13312.91015625,0
2021-05-18,13217.6796875,13217.6796875,13217.6796875,13217.6796875,0
2021-05-19,13237.91015625,13237.91015625,13237.91015625,13237.91015625,0
2021-05-20,13494.08984375,13494.08984375,13494.08984375,13494.08984375,0
2021-05-21,13411.740234375,13411.740234375,13411.740234375,13411.740234375,0
2021-05-24,13641.75,13641.75,13641.75,13641.75,0
2021-05-25,13657.73046875,13657.73046875,13657.73046875,13657.73046875,0
2021-05-26,13702.740234375,13702.740234375,13702.740234375,13702.740234375,0
2021-05-27,13657.849609375,13657.849609375,13657.849609375,13657.849609375,0
2021-05-28,13686.509765625,13686.509765625,13686.509765625,13686.509765625,0
2021-06-01,13654.58984375,13654.58984375,13654.58984375,13654.58984375,0
2021-06-02,13675.7900390625,13675.7900390625,13675.7900390625,13675.7900390625,0
2021-06-03,13529.6796875,13529.6796875,13529.6796875,13529.6796875,0
2021-06-04,13770.76953125,13770.76953125,13770.76953125,13770.76953125,0
2021-06-07,13802.8896484375,13802.8896484375,13802.8896484375,13802.8896484375,0
2021-06-08,13810.8603515625,13810.8603515625,13810.8603515625,13810.8603515625,0
2021-06-09,13814.9404296875,13814.9404296875,13814.9404296875,13814.9404296875,0
2021-06-10,13960.349609375,13960.349609375,13960.349609375,13960.349609375,0
2021-06-11,13998.2998046875,13998.2998046875,13998.2998046875,13998.2998046875,0
2021-06-14,14128.2001953125,14128.2001953125,14128.2001953125,14128.2001953125,0
2021-06-15,14030.41015625,14030.41015625,14030.41015625,14030.41015625,0
2021-06-16,13983.009765625,13983.009765625,13983.009765625,13983.009765625,0
2021-06-17,14163.8095703125,14163.8095703125,14163.8095703125,14163.8095703125,0
2021-06-18,14049.580078125,14049.580078125,14049.580078125,14049.580078125,0
2021-06-21,14137.23046875,14137.23046875,14137.23046875,14137.23046875,0
2021-06-22,14270.419921875,14270.419921875,14270.419921875,14270.419921875,0
2021-06-23,14274.240234375,14274.240234375,14274.240234375,14274.240234375,0
2021-06-24,14365.9599609375,14365.9599609375,14365.9599609375,14365.9599609375,0
2021-06-25,14345.1796875,14345.1796875,14345.1796875,14345.1796875,0
2021-06-28,14524.98046875,14524.98046875,14524.98046875,14524.98046875,0
2021-06-29,14572.75,14572.75,14572.75,14572.75,0
2021-06-30,14554.7998046875,14554.7998046875,14554.7998046875,14554.7998046875,0
2021-07-01,14560.0498046875,14560.0498046875,14560.0498046875,14560.0498046875,0
2021-07-02,14727.6298828125,14727.6298828125,14727.6298828125,14727.6298828125,0
2021-07-06,14786.3603515625,14786.3603515625,14786.3603515625,14786.3603515625,0
2021-07-07,14810.5400390625,14810.5400390625,14810.5400390625,14810.5400390625,0
2021-07-08,14722.1396484375,14722.1396484375,14722.1396484375,14722.1396484375,0
2021-07-09,14826.08984375,14826.08984375,14826.08984375,14826.08984375,0
2021-07-12,14877.8896484375,14877.8896484375,14877.8896484375,14877.8896484375,0
2021-07-13,14874.5400390625,14874.5400390625,14874.5400390625,14874.5400390625,0
2021-07-15,14794.6904296875,14794.6904296875,14794.6904296875,14794.6904296875,0
2021-07-16,14681.3798828125,14681.3798828125,14681.3798828125,14681.3798828125,0
2021-07-19,14549.08984375,14549.08984375,14549.08984375,14549.08984375,0
2021-07-20,14728.2099609375,14728.2099609375,14728.2099609375,14728.2099609375,0
2021-07-21,14842.6298828125,14842.6298828125,14842.6298828125,14842.6298828125,0
2021-07-22,14940.169921875,14940.169921875,14940.169921875,14940.169921875,0
2021-07-23,15111.7900390625,15111.7900390625,15111.7900390625,15111.7900390625,0
2021-07-26,15125.9501953125,15125.9501953125,15125.9501953125,15125.9501953125,0
2021-07-27,14956.9697265625,14956.9697265625,14956.9697265625,14956.9697265625,0
2021-07-28,15018.099609375,15018.099609375,15018.099609375,15018.099609375,0
2021-07-29,15048.3603515625,15048.3603515625,15048.3603515625,15048.3603515625,0
2021-07-30,14959.900390625,14959.900390625,14959.900390625,14959.900390625,0
2021-08-02,14963.6201171875,14963.6201171875,14963.6201171875,14963.6201171875,0
2021-08-03,15061.419921875,15061.419921875,15061.419921875,15061.419921875,0
2021-08-04,15083.3896484375,15083.3896484375,15083.3896484375,15083.3896484375,0
2021-08-05,15181.6396484375,15181.6396484375,15181.6396484375,15181.6396484375,0
2021-08-06,15109.3603515625,15109.3603515625,15109.3603515625,15109.3603515625,0
2021-08-09,15133.1103515625,15133.1103515625,15133.1103515625,15133.1103515625,0
2021-08-10,15053.580078125,15053.580078125,15053.580078125,15053.580078125,0
2021-08-11,15027.759765625,15027.759765625,15027.759765625,15027.759765625,0
2021-08-12,15088.98046875,15088.98046875,15088.98046875,15088.98046875,0
2021-08-16,15140.76953125,15140.76953125,15140.76953125,15140.76953125,0
2021-08-17,15002.830078125,15002.830078125,15002.830078125,15002.830078125,0
2021-08-18,14857.919921875,14857.919921875,14857.919921875,14857.919921875,0
2021-08-19,14933.9404296875,14933.9404296875,14933.9404296875,14933.9404296875,0
2021-08-20,15092.5703125,15092.5703125,15092.5703125,15092.5703125,0
2021-08-23,15312.8203125,15312.8203125,15312.8203125,15312.8203125,0
2021-08-25,15368.919921875,15368.919921875,15368.919921875,15368.919921875,0
2021-08-26,15278.51953125,15278.51953125,15278.51953125,15278.51953125,0
2021-08-27,15432.9501953125,15432.9501953125,15432.9501953125,15432.9501953125,0
2021-08-30,15605.08984375,15605.08984375,15605.08984375,15605.08984375,0
2021-08-31,15582.509765625,15582.509765625,15582.509765625,15582.509765625,0
2021-09-01,15611.5703125,15611.5703125,15611.5703125,15611.5703125,0
2021-09-02,15604.25,15604.25,15604.25,15604.25,0
2021-09-03,15652.8603515625,15652.8603515625,15652.8603515625,15652.8603515625,0
2021-09-07,15675.759765625,15675.759765625,15675.759765625,15675.759765625,0
2021-09-09,15561.0498046875,15561.0498046875,15561.0498046875,15561.0498046875,0
2021-09-10,15440.75,15440.75,15440.75,15440.75,0
2021-09-13,15434.5,15434.5,15434.5,15434.5,0
2021-09-14,15382.900390625,15382.900390625,15382.900390625,15382.900390625,0
2021-09-15,15503.5302734375,15503.5302734375,15503.5302734375,15503.5302734375,0
2021-09-16,15515.91015625,15515.91015625,15515.91015625,15515.91015625,0
2021-09-17,15333.4697265625,15333.4697265625,15333.4697265625,15333.4697265625,0
2021-09-20,15012.1904296875,15012.1904296875,15012.1904296875,15012.1904296875,0
2021-09-21,15027.76953125,15027.76953125,15027.76953125,15027.76953125,0
2021-09-22,15176.509765625,15176.509765625,15176.509765625,15176.509765625,0
2021-09-23,15316.580078125,15316.580078125,15316.580078125,15316.580078125,0
2021-09-24,15329.6796875,15329.6796875,15329.6796875,15329.6796875,0
2021-09-27,15204.8203125,15204.8203125,15204.8203125,15204.8203125,0
2021-09-28,14770.2998046875,14770.2998046875,14770.2998046875,14770.2998046875,0
2021-09-29,14752.8896484375,14752.8896484375,14752.8896484375,14752.8896484375,0
2021-09-30,14689.6201171875,14689.6201171875,14689.6201171875,14689.6201171875,0
2021-10-01,14791.8701171875,14791.8701171875,14791.8701171875,14791.8701171875,0
2021-10-04,14472.1201171875,14472.1201171875,14472.1201171875,14472.1201171875,0
2021-10-05,14674.150390625,14674.150390625,14674.150390625,14674.150390625,0
2021-10-06,14766.75,14766.75,14766.75,14766.75,0
2021-10-07,14897.1298828125,14897.1298828125,14897.1298828125,14897.1298828125,0
2021-10-08,14820.75,14820.75,14820.75,14820.75,0
2021-10-11,14713.73046875,14713.73046875,14713.73046875,14713.73046875,0
2021-10-12,14662.1103515625,14662.1103515625,14662.1103515625,14662.1103515625,0
2021-10-13,14774.599609375,14774.599609375,14774.599609375,14774.599609375,0
2021-10-14,15052.419921875,15052.419921875,15052.419921875,15052.419921875,0
2021-10-15,15146.919921875,15146.919921875,15146.919921875,15146.919921875,0
2021-10-18,15300.8896484375,15300.8896484375,15300.8896484375,15300.8896484375,0
